ID,LotArea,TotalBsmtSF,GarageCars,AGE,TotalArea,SalePrice
1,12108,1440,0,53,1440,118000
2,9400,945,0,31,980,127500
3,1680,672,0,35,1218,91500
4,8430,1040,0,31,1040,124000
5,7500,1080,0,4,1080,141000
6,11841,816,0,17,816,118500
7,9825,0,0,45,1664,100000
8,6040,0,0,53,1152,82000
9,8335,0,0,52,1124,93000
10,5000,0,0,61,334,39300
11,6240,0,0,59,912,80500
12,10800,0,0,108,1294,106250
13,5600,0,0,80,1092,55000
14,6120,264,0,73,800,60000
15,4130,270,0,73,729,52000
16,7920,319,0,88,1406,89500
17,5330,420,0,69,708,82500
18,5900,440,0,83,869,85500
19,6780,520,0,71,520,84500
20,9098,528,0,87,605,86000
21,4270,544,0,76,774,79000
22,1533,546,0,39,1344,97000
23,9600,572,0,84,1096,79000
24,8800,576,0,100,1140,96500
25,5925,600,0,99,968,37900
26,1890,630,0,36,630,81000
27,1491,630,0,38,630,75500
28,1936,630,0,37,630,84500
29,1533,630,0,36,630,92000
30,10106,644,0,68,1355,127500
31,8410,658,0,96,1184,81000
32,4388,672,0,77,840,87000
33,10020,683,0,87,904,61000
34,6882,684,0,93,1355,127000
35,5250,684,0,136,2153,122000
36,3880,686,0,62,866,110500
37,7082,686,0,90,1928,160000
38,4118,693,0,65,693,52500
39,9405,698,0,62,698,118000
40,7879,720,0,89,720,34900
41,10800,720,0,57,1192,135000
42,5350,728,0,70,1306,76500
43,4456,736,0,89,1452,113000
44,6300,742,0,94,1484,128000
45,5520,755,0,97,1858,104000
46,6342,780,0,135,1020,94000
47,5687,780,0,96,1716,135900
48,6130,784,0,84,784,109500
49,7446,788,0,65,788,100000
50,8500,793,0,88,1517,115000
51,8777,796,0,98,796,85000
52,3636,796,0,86,796,55000
53,8780,833,0,24,833,112000
54,8125,858,0,35,858,88000
55,7207,858,0,52,858,116500
56,10500,864,0,39,864,115000
57,5604,864,0,83,864,98000
58,8248,864,0,94,864,67000
59,4060,864,0,87,864,99900
60,5500,882,0,51,882,103200
61,9000,896,0,35,1792,136000
62,5586,901,0,88,1198,79900
63,9400,912,0,39,1824,139000
64,8525,940,0,97,1964,130000
65,9320,950,0,51,1225,128950
66,10712,974,0,16,974,93500
67,8070,990,0,13,990,123600
68,13907,996,0,68,996,108000
69,9000,1006,0,49,1006,80000
70,6000,1008,0,80,1008,102000
71,8470,1013,0,94,1013,85000
72,7000,1117,0,98,1347,107500
73,8402,1120,0,0,1120,147000
74,17217,1140,0,0,1140,84500
75,10800,1200,0,22,1200,179000
76,8777,1272,0,108,2200,145900
77,7711,1440,0,30,1440,150000
78,10896,1440,0,93,2880,200000
79,18030,1598,0,61,2607,200500
80,10778,1768,0,42,1768,136500
81,8000,1800,0,46,1800,141000
82,10159,1930,3,1,1940,395192
83,11394,1856,3,0,1856,394432
84,6371,1358,2,1,1358,224000
85,13518,1926,3,1,3140,485000
86,12919,2330,3,1,2364,611657
87,17423,2216,3,1,2234,501837
88,4403,1470,2,1,1478,222000
89,13891,1734,3,1,2822,582933
90,12704,2042,3,1,2042,253293
91,12220,2006,3,0,2020,402861
92,9541,1502,2,0,1502,233170
93,9187,1766,3,0,1766,370878
94,8004,832,2,0,1935,263435
95,12003,774,3,1,1968,269500
96,3951,612,2,0,1224,164500
97,3000,612,2,0,1224,173733
98,8640,1300,2,0,1314,229456
99,8640,756,2,1,1547,215200
100,13159,846,2,0,1692,224500
101,8640,900,2,0,1852,252678
102,10420,1212,2,1,1212,186000
103,7862,1218,2,0,1218,208300
104,10402,1226,3,1,1226,198900
